color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,DocuSign,Intuit,Linkedin,Microsoft,Netflix,Paypal,Walmart,Xerox,Zoom,eFax,url_len,tld_char_score
16711422,8572906,1118481,11329264,2236192,3757431,7840696,10526880,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.8968174619697065
16711422,2105636,3699167,6382695,10330277,14014427,5460819,14672096,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.772489257847299
15658734,11974326,2171169,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.156292847112824
16711422,14478324,9607609,1320842,4543132,6779311,15922933,11712983,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.5649388331312156
16711422,15453048,1644568,11772557,6710884,4997673,10061654,4276031,0,1,0,0,0,0,0,0,0,0,0,0,0,14,1.4023724396700548
16119280,2428936,9588274,13278820,15785063,12995754,4086244,2370943,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.40443224469818556
16579836,13820397,6389154,6653614,8802637,723723,10918552,5466757,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.979558309003561
16448250,13476440,1842204,4883364,6117204,8627899,13950950,9407372,0,1,0,0,0,0,0,0,0,0,0,0,0,18,1.6955350478983853
16184061,9195754,16380924,6952132,10497678,2953547,16448250,13716379,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.2683135610548042
16447991,2171946,6904913,5331300,11180942,2695966,8755893,13949918,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.6289526881710559
16579836,2171427,15396080,6513503,2171167,4351941,10133938,11250340,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957
16250613,99,157,460551,10329501,6250335,5400502,9477061,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.904374993188632
16250354,2381206,1259139,12884601,7757130,7910495,14477040,15923442,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2.104875335870024
2302755,7237230,3625580,8092796,2369064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2.5959212779695893
16250614,14800635,6442861,11444929,11050160,12760277,3221040,2762021,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.6839435634466613
16711422,328965,10395294,6250335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.31283973001931
2172465,12426884,15128776,8281158,4138525,14670045,8232633,5857132,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.301288044385601
16711422,2315141,14642071,2500134,15442622,6381921,10395294,13556195,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.0788886328612755
16645372,2301725,8540991,11707289,14146024,15723759,2366495,10199219,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2.330580840754972
16514042,14781241,15195472,8677677,9736499,855307,2629792,4608918,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.8530867554847432
16711422,5131854,2500134,10461087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.2462078073694656
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.8431718757911582
16513785,14906689,4927266,6248789,2237500,3757951,3746177,15001580,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.32560467243100105
16579836,15526899,5918618,7506117,2303530,4813009,5809500,14869731,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.3956069204380348
16382456,14084857,10895158,12491655,8461595,3809568,13717056,15525095,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.0746562557250479
16711422,3223857,6052956,10658466,2249148,14673397,8034263,5141706,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5384516799577074
1776153,5853773,9802893,2564131,15987442,7107180,4799544,8684404,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.3407139757276654
16316664,5746345,3289650,4095374,6710886,5608349,5348245,6594982,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2.415995996934474
16711422,7842745,15002102,10236214,460294,10174012,262877,3763774,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.2953748817399944
1778218,3552565,16645629,1249555,5277359,3618872,14279917,8168130,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.6640765044597758
16711422,14935275,5735669,4346031,2171169,14570333,10467057,4945371,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.4080771446116498
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1.4394742379624097
1511693,922136,1575956,1251864,5328717,16579836,4803919,5001295,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.7854129961768959
16711422,5063748,10788253,2314940,14673653,8165591,12475993,4944585,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.4230950957005022
16314851,10576180,12883306,3815730,14541799,14339963,4342074,14804708,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.8821158747335824
16711422,15462389,4417477,2171427,9871802,12820346,6250594,263172,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957
11906211,16184562,7758416,11908794,13156787,12170935,2630945,14343392,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.4798659446913416
16711422,14541286,9608877,6452361,7307155,16448507,12107977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1.190274958827843
16645372,14014425,2763306,14064993,6169448,6708312,14574392,15328234,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.0209580442563473
16711422,2171427,4351941,10134195,14278119,6119007,12493961,10132379,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957
16711422,15133941,8955595,2105893,4418245,12229506,4678280,7888711,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957
16644855,10519780,14608884,10594544,12159679,16107882,15051129,1185169,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.2688429382511017
16711422,2246298,7581302,6183256,10920343,14410223,14642323,9018569,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2.5548228575614886
16711422,7775691,3761054,1056829,13689326,9064244,4816832,2956051,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.7856423983641687
15987701,5007510,5470902,3842500,15526633,8170952,15988726,15359569,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.3687236599001054
16711422,1977146,1445857,13734230,6265302,3755681,14738418,5464278,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1.6327845684318572
16514043,2359854,1189430,2434340,9392956,2970735,12032892,14933988,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1.8843881711757329
16382457,5287850,4092812,6776679,5413524,3289650,10526880,13756904,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3.0298372657027426
16711422,15001582,12296316,4351941,2171427,9674940,8823190,6906458,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957
16711422,10132122,8026746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.7111899623586792
15247686,16447474,1843756,15910483,13555937,9806251,5856870,7754560,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0.4332411281074987
16645629,2964041,5594987,5921370,328965,8755889,14672356,13338473,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.35478932975713273
8601447,6433868,0,15162026,5382719,16711421,15788527,10000021,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.3637258019988185
16513522,16240975,1052688,11221041,10393487,13919279,9274981,4604726,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.362574897119532
16711422,3174591,15463161,16645886,7644378,7039851,10329501,1052688,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3.6249803652005044
16711422,5946021,4821214,6939265,6251366,13755888,2302755,4294614,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.2155964139377227
8223094,1905676,16711422,14583881,6044959,16103048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.5542576973523317
16711421,15527414,8802112,2171427,2889748,12229252,10199471,4417477,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957
1776411,3037878,5789270,15329769,10395037,5576290,15420967,2106152,0,0,0,0,0,0,1,0,0,0,0,0,0,21,1.0353432895376191
4687489,5542543,16711422,6925225,13233130,5609112,4031878,10670029,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.2841859993578282
14606564,10726071,16448250,0,5135487,9737364,4020171,12173001,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.314923634099272
1318193,16711422,3173097,2242407,13125947,10002868,5463153,14475237,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.7204733695000463
16250613,1249810,11837583,1974569,7692373,14019830,6708320,5264997,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.1574310593740063
16711422,15988215,2369581,6581106,9740721,4293701,3369424,15658991,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.1587644873264051
16711422,15374140,1842733,15066856,5263440,10527143,6119273,328965,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.315803563987722
16316664,5419179,4094350,5347988,2910306,14544878,3289650,6776679,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.020607920163674
16250612,15265265,3239341,12551779,10117695,10074320,14739428,10268586,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.5829545334228812
16514043,3419948,6774096,10456706,3158326,12044506,10398662,3617075,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.4472513042175406
16711422,4611222,1910076,6599747,15132909,1914492,9937594,6650023,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.0119250633224042
16711422,2631720,10658466,6250335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.742021322601337
664387,16711422,65793,8010335,5645925,3549536,12203568,10855588,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.784664692617456
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.4394742379624097
16382457,5287850,4093068,6776679,5413524,3289650,10461087,13691368,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.4324335110879742
986895,16711422,16441675,6579034,11183502,7239036,11246135,14672098,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.711665960523398
16119285,1778220,6531527,1250581,16241747,6316385,15132903,10461601,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1.1459986016510249
16711422,9683041,4415024,6513507,14738909,9677188,3168887,11785104,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7139551631714485
16711422,13885425,5799874,5527414,3416361,8624575,2697017,3154463,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.2290065325409858
3289650,15526890,7761253,12618076,15921908,15000548,16119541,1052434,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.32061625339878436
16711422,4418004,1119670,3625632,328965,10329501,14606835,1909834,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.3877164738448895
0,16711422,10856620,2434605,9254971,15264236,5466495,9933461,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.4399167946297244
15987184,15328486,14737895,2841003,11513516,6973543,9151948,2303530,0,0,0,0,0,0,1,0,0,0,0,0,0,74,2.264915538429439
16711422,15348515,460551,3636923,11051420,6316128,14017777,7513294,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.2201867550607775
16316666,11904666,12436652,1709586,14736082,15855601,7299414,10593448,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.26112450214153526
16250356,1774094,8082499,11836807,4150409,2364953,13294070,8098263,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.18952121445701955
15722977,12948595,5611733,2240039,1777191,7759446,4939596,2629662,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.6713770436964642
15526372,11788019,4490102,4428679,11509632,1051915,7888967,1778731,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.0658120188096443
16316663,3830090,14278114,11444630,7497824,1782927,9478587,14214879,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.0052419128931422
16711422,3223857,6184542,10592673,2249148,14673397,8034263,5141706,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.137396039516378
9020366,13621480,3766766,3356734,10993120,5858423,16711422,2702691,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.7878954790943302
1450043,5527142,16711422,8618883,14935272,3554127,10133420,7765391,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.960905613085137
16711422,15264489,0,10603597,5066060,3372452,11327574,14674417,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.615296694420412
16382457,2767484,4823505,14936305,4674442,3421236,12683373,6976931,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.35554118445444005
16448250,7368816,2895409,4672076,3089949,5855834,10330273,14277849,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.101072321805666
16316147,16044259,12031369,8278861,14739182,14564741,12867667,4221849,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.2690836642581245
15659252,16711422,6665539,3765737,0,7697781,9280697,6119007,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.0759863967211434
16711422,16645885,16645630,11644844,4680088,2566703,8495300,3570165,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.5730070664186196
16250871,4991618,328965,11445651,6250335,14868201,10720445,6572432,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.9262645282023277
1643279,6703173,1186080,1707286,1118994,4477016,5785628,5002066,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1.6172501487925428
16446705,15431234,2238770,4871774,8020821,3879985,13920566,9411235,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2.905692322372127
16711422,9811038,2631462,15779148,7039589,2301729,14741982,5551941,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.2653778016561175
16711422,5389884,3750201,11510176,13129040,14658986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2.0615642798261407
1322050,3168899,11838598,16381941,8474173,526857,2760473,12900588,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.3158941594402278
16514043,10500665,11809334,328965,3959455,10854042,265492,12479837,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.5906528446537276
16711422,3223857,6118749,10658466,2249148,14673397,8034263,5141706,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.29378070191209793
16711422,6710886,2566702,14476272,7904199,6712433,12428919,3701492,0,0,0,0,0,0,1,0,0,0,0,0,0,76,3.490199816016625
16711422,5063748,10854045,2380733,14410740,12475993,8099799,5010121,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1.993745522000347
16382457,5658198,10526880,6205552,14150107,10670509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.2411006002329774
16711422,3699167,6382439,2105636,9871023,14146533,5460819,15001061,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.1562133071764462
16711422,11224384,460551,10460830,12867667,14856108,5649972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.705073455621133
16711422,10661302,3618612,3279894,10855319,9809311,6316356,5008712,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.4971447330954155
3947580,15724526,10068396,1582897,5529451,6445394,13817567,11902865,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.7324371345477398
16711422,197379,11027518,10591902,14307658,15509154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.684645553566111
920841,1447453,9347252,7167556,11969156,15327440,15331823,5138048,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.424080232476692
15724788,16711422,528941,65793,11317177,12304071,6052699,10263708,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.3216439580691766
16711422,3223857,6184542,10592673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.3521294737317886
15790319,15658992,15724783,15790064,12632254,12697790,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,1.2034703091584582
16711422,663653,1715079,14738665,9739954,5203340,4289233,11451352,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2713536365970449
16579836,16053751,328965,6184542,16448507,4092127,10526880,16645117,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.6478633698537317
16711422,394758,10395294,6250335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.0025270369458474
16711422,2633007,3960751,9281461,14279146,3355443,10526880,14737889,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.1718576547464592
16711422,16448507,3636936,1381653,7057638,13821687,10657181,6316128,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.5420444985632482
16711422,9549005,12768482,11060183,5007485,16053749,14175048,6641237,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.8240729997454697
16711422,3834840,2117009,14517831,16514813,1190981,1720195,15069688,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.5922347061030113
16711422,16119544,0,2171427,4351941,10068661,6250594,10198172,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957
16579835,792876,11841438,2894891,4675697,9478072,13753319,7167310,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.0080322304503575
2635070,6512733,16711422,2760727,4673110,4855325,14343392,1982306,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1.9814427387841853
0,16579836,3965685,10395294,6316128,529188,2775980,1850740,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2.9780006333964106
16447734,3618617,12165785,2367004,7821646,5856095,10001569,2236193,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.7626855583522807
16053494,2565929,16447988,4473927,9151169,11314844,6476907,1446930,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.2182304583326038
15527148,394758,14213101,3962869,10526880,7050995,6250335,10402032,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.8571161311178417
16711422,7631988,12363383,4891113,14703669,9222200,14993767,14150394,0,0,0,0,0,0,1,0,0,0,0,0,0,49,3.776685973221745
460293,16053492,15264497,5915085,13671271,6841150,6863437,4868894,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.8134225939025582
1511435,988444,6903879,1317142,16711165,2167321,5070443,15152165,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.0560864694836503
16711422,3223857,6118749,10592673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.7081523929144353
16711422,1913096,11462014,14384483,14569278,2237737,14776982,14701407,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.604611511118068
16448250,14375995,14387019,16312672,11158061,14806260,1252137,4332566,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.8482505718798926
16645629,789259,8432098,5919567,5202901,14738667,11116952,1253169,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.6436002528733338
